Reservoir Name,Station ID,Approximate Capacity (AF)
KERCKHOFF DAM,KRH,985
FRIANT DAM (MILLERTON),MIL,581
LOS BANOS DAM,LBS,350
SAN LUIS RESERVOIR,SNL,543
SAN LUIS RESERVOIR (STATE),LUS,543
SAN LUIS RESERVOIR (FEDERAL),SLF,543
ONEILL FOREBAY,ONF,225
COURTRIGHT (PG&E),CTG,8192
WISHON,WSN,6560
PINE FLAT DAM,PNF,970
TERMINUS DAM,TRM,752
SUCCESS DAM,SCC,692
ISABELLA DAM,ISB,2635
INDEPENDENCE LAKE NEAR TRUCKEE,INP,6921
LAKE TAHOE AT TAHOE CITY,THC,6230
STAMPEDE,STP,5956
DONNER LAKE,DNN,5945
MARTIS CREEK RESERVOIR,MRT,5745
PROSSER CREEK RESERVOIR,PRS,5622
BOCA RESERVOIR,BOC,5521
BRIDGEPORT RESERVOIR,BDP,6466
SADDLEBAG LAKE RESERVOIR,SDB,10090
GEM LAKE,GLK,9054
GRANT LAKE,GNT,7140
LAKE CROWLEY,CRW,6797
PLEASANT VALLEY RESERVOIR,PVR,4400
TINEMAHA RESERVOIR,TNM,3882
HAIWEE,HWE,3774
SOUTH LAKE RESERVOIR,SKR,837
QUAIL LAKE,QUL,3327
FAIRMONT RESERVOIR,FMT,3060
LITTLE ROCK RESERVOIR,LRK,745
LAKE SILVERWOOD,SLW,3331
