# title: ["JPL GRACE and GRACE-FO MASCON RL06.3Mv04 CRI"]
# product_version: ["v3.0"]
# id: ["10.5067/TEMSC-3JC634"]
# months_missing: ["2002-06;2002-07;2003-06;2011-01;2011-06;2012-05;2012-10;2013-03;2013-08;2013-09;2014-02;2014-07;2014-12;2015-06;2015-10;2015-11;2016-04;2016-09;2016-10;2017-02;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-08;2018-09"]
# journal_reference: ["Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015) Improved methods for observing Earth's time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res., 120, doi:10.1002/2014JB011547. "]
# date_created: ["2026-05-04T10:05:09Z"]
# total_area_GRACE: 152682.343
# total_area_units: km^2
#
date,tws,tws_error
01/15/2004,14.462621796381217,3.1237742674080624
02/15/2004,18.208111935504075,2.647780776444852
03/15/2004,22.1208306333741,2.484200550246198
04/15/2004,14.855104283470313,2.530134864515963
05/15/2004,12.62336364788861,2.6483411721874455
06/15/2004,-6.122547786817403,2.655261826624423
07/15/2004,-12.54773711482789,2.410198984415761
08/15/2004,-17.71337369952006,2.5914114278333185
09/15/2004,-23.411756270541613,2.765557749923711
10/15/2004,-22.616648976738865,2.463154255334654
11/15/2004,-8.293744165838016,2.712515141653848
12/15/2004,-6.792731037199484,2.740850297476921
01/15/2005,21.366958460836695,2.558143417206233
02/15/2005,29.130770718184085,2.738370076255282
03/15/2005,37.14997429009044,2.7753653532437044
04/15/2005,38.33250762975126,2.7289866784347314
05/15/2005,31.905286718016924,2.811183526281648
06/15/2005,24.283185858493503,2.894932487504858
07/15/2005,14.915839990292351,2.737794242998053
08/15/2005,3.670361559291557,2.693140460646661
09/15/2005,-4.066371443306778,2.659656945464247
10/15/2005,-7.414687153389808,2.6334147446434617
11/15/2005,-5.487996336400629,2.6033497110798116
12/15/2005,6.443038958217425,3.431497020853941
01/15/2006,35.15806780070555,2.925239297789633
02/15/2006,30.933330883602103,2.823571853637384
03/15/2006,37.59194397564506,2.6711359218423563
04/15/2006,49.760226456985734,2.675074892938495
05/15/2006,34.26442717620001,2.6314024908440055
06/15/2006,33.9066913819891,2.9795082056359576
07/15/2006,17.93017741916717,2.8589481464221387
08/15/2006,4.78113606950787,2.6163547749684066
09/15/2006,-3.3773457659671937,2.8009740423915876
10/15/2006,-7.857686173044483,2.666723087431413
11/15/2006,-8.588711929567577,2.629723343321042
12/15/2006,5.924664598035378,2.765692510802966
01/15/2007,7.115064336453342,2.815750400206365
02/15/2007,8.449953454514223,2.7137636029508574
03/15/2007,16.97081782756426,2.581193038886564
04/15/2007,16.435731639565176,2.6512911599075237
05/15/2007,1.191064108164218,2.563833160799788
06/15/2007,-6.211770460205055,2.6271116198303335
07/15/2007,-13.092831667688833,2.565082654446606
08/15/2007,-16.93775573902829,2.858248253907918
09/15/2007,-22.806177600040137,2.836765232100086
10/15/2007,-21.77321916718815,2.9400040410910386
11/15/2007,-18.880018600423956,3.045347152079168
12/15/2007,-13.618096117718146,2.8147900210517136
01/15/2008,-4.316366901913286,2.7488204309607234
02/15/2008,13.939047293715303,3.0230268311733464
03/15/2008,17.936666150349122,2.7571765005167768
04/15/2008,5.723829928395398,3.045810945089592
05/15/2008,-5.414874717604265,2.849197626125756
06/15/2008,-10.548002580343177,2.670332691949002
07/15/2008,-17.800219796724555,2.760030737419572
08/15/2008,-19.99659233190953,2.690237087754692
09/15/2008,-25.948114607949222,2.6841674025069047
10/15/2008,-28.367808564238413,2.6227945405053705
11/15/2008,-28.055230119927735,2.9085813117020582
12/15/2008,-25.85583023477334,2.8651596579446887
01/15/2009,-15.444493687499913,2.8374605498322962
02/15/2009,-6.526139382178789,2.999684249703059
03/15/2009,1.0681890072652696,2.984058474243639
04/15/2009,-3.7895246786420573,2.667391579166928
05/15/2009,-7.062639374576465,2.650589400318847
06/15/2009,-14.516452129856734,2.7127503972058444
07/15/2009,-17.641303874864686,3.127887268359145
08/15/2009,-26.431873094096748,2.9946393474630546
09/15/2009,-30.005921053386288,2.86480674342611
10/15/2009,-33.281129921878225,3.0445579389833117
11/15/2009,-34.497505738650986,3.087832916415073
12/15/2009,-23.09272141572505,3.097328112937698
01/15/2010,-11.862234438080721,3.077023439146168
02/15/2010,6.362978866313603,3.106857251051402
03/15/2010,7.569845586514659,3.330014529141848
04/15/2010,10.161080935570528,2.97037505656101
05/15/2010,9.03109754795266,2.9772215418293904
06/15/2010,1.2294827785139688,3.65784505480707
07/15/2010,-10.325772853289626,2.836866176473004
08/15/2010,-20.649517570249884,2.5050939061083155
09/15/2010,-28.517215887697517,2.525161629522007
10/15/2010,-29.020221856749355,2.6346936904382194
11/15/2010,-14.381016949028524,2.759095639804878
12/15/2010,-0.007542669676662256,2.876814263694062
02/15/2011,9.34325180339704,3.4128154636239065
03/15/2011,29.001608758219973,3.1128644112039145
04/15/2011,29.129186391793333,2.870050956031654
05/15/2011,23.39616438183908,2.7210103879159755
07/15/2011,8.310683152066376,2.9489940425534535
08/15/2011,-5.778000037167032,2.771569924029615
09/15/2011,-10.904095409336158,2.624582970240804
10/15/2011,-12.545712775098195,2.49557319074727
11/15/2011,-14.544661448297154,2.534042732536223
01/15/2012,-16.8959376750838,2.3248771852545813
02/15/2012,-10.456229981239773,2.549756287789952
03/15/2012,-2.0811417436852953,2.3518061854569217
04/15/2012,6.780074974697026,2.791790501884448
06/15/2012,-7.095952177762404,2.588948164793134
07/15/2012,-13.771686168011692,2.34950141881529
08/15/2012,-22.440745864838917,2.3745145502532954
09/15/2012,-25.850596411389276,2.710173773931805
11/15/2012,-29.75202890523378,2.7696177971120033
12/15/2012,-10.03586029660569,2.5001704439130816
01/15/2013,6.299396276855154,2.4203552855346446
02/15/2013,2.525735673726563,2.7132045360153025
04/15/2013,-8.542912543418371,2.835641787852308
05/15/2013,-19.0831102767424,2.438429186745059
06/15/2013,-22.84940677827083,2.588648237393329
07/15/2013,-28.316252724434108,2.5485773931581686
10/15/2013,-42.66289413928855,2.5806369128998417
11/15/2013,-44.673193716342396,2.5298548058096895
12/15/2013,-36.85236619179565,2.62933687330131
01/15/2014,-37.97929367589297,3.3539112766970676
03/15/2014,-24.251798967339234,2.34490945905673
04/15/2014,-29.900555537452462,2.3701588379436167
05/15/2014,-32.93698241882854,2.341935607369802
06/15/2014,-37.5233818677494,2.612038170482256
08/15/2014,-54.91244901212759,2.366942178006132
09/15/2014,-60.54093817503686,2.3372651538018294
10/15/2014,-58.3726688611419,2.259151509545169
11/15/2014,-58.3572997068223,2.3195705876426986
01/15/2015,-39.2323479537243,2.7065410611799283
02/15/2015,-30.687828286367164,4.805635036834055
03/15/2015,-33.01861678122157,2.134223635855065
04/15/2015,-30.00152344515659,2.142632241039653
07/15/2015,-56.480800032896845,2.5060379776163715
08/15/2015,-60.046062466194165,2.347165605236059
09/15/2015,-65.38856553015577,2.640795738167348
12/15/2015,-47.91534526164247,2.7171539780469125
01/15/2016,-30.338112774804113,2.473105757074383
02/15/2016,-13.355656995959505,2.2849369492958465
03/15/2016,-5.951971077378724,2.387242251716819
05/15/2016,-20.732404925779058,2.6421289779203874
