# https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=<station_id>&SensorNums=<storage or alt storage sensor>&dur_code=M&Start=YYYY-MM-DD&End=YYYY-MM-DD
#
date,anomaly,error
2004-01-01,0.32701410906910233,0.5415786413287013
2004-02-01,1.1864956190993343,0.5845527168302128
2004-03-01,2.1383229803794013,0.6321440848942163
2004-04-01,1.9326312495954934,0.6218594983550209
2004-05-01,0.9100538370773759,0.570730627729115
2004-06-01,-0.6531389291284064,0.4925709894188258
2004-07-01,-2.0132068402542167,0.4245675938625353
2004-08-01,-2.6782274716314136,0.39131656229367545
2004-09-01,-2.7418109933933117,0.3881373862055806
2004-10-01,-2.6307248525856233,0.393691693245965
2004-11-01,-1.9050354170286496,0.42997616502381364
2004-12-01,-1.1508994233341632,0.467682964708538
2005-01-01,1.2171513432079077,0.5860855030356416
2005-02-01,1.9918926509986292,0.6248225684251776
2005-03-01,2.7248411271695634,0.6614699922337244
2005-04-01,2.397292492172502,0.6450925604838713
2005-05-01,3.667524687587889,0.7086041702546406
2005-06-01,4.161904208076926,0.7333231462790925
2005-07-01,3.2373096588062342,0.6870934188155579
2005-08-01,1.8904819417246568,0.619752032961479
2005-09-01,1.5151494538228416,0.6009854085663883
2005-10-01,1.438272698297693,0.5971415707901307
2005-11-01,1.649233863491606,0.6076896290498265
2005-12-01,2.933565989792001,0.6719062353648462
2006-01-01,3.1236911797860607,0.6814124948645492
2006-02-01,3.214989804955813,0.6859774261230368
2006-03-01,3.565738999835304,0.7035148858670114
2006-04-01,3.9567564427833783,0.7230657580144151
2006-05-01,4.804450800374012,0.7654504758939468
2006-06-01,4.919498884843902,0.7712028801174413
2006-07-01,3.6538281052637664,0.7079193411384345
2006-08-01,2.242458451032517,0.637350858426872
2006-09-01,1.6567605696643213,0.6080659643584623
2006-10-01,1.473386225767161,0.5988972471636042
2006-11-01,1.7527254566255142,0.6128642087065219
2006-12-01,2.3119984565879292,0.6408278587046426
2007-01-01,2.196822090006929,0.6350690403755926
2007-02-01,2.2484420714264584,0.6376500394465691
2007-03-01,2.187113354463593,0.6345836035984258
2007-04-01,1.8462196794661008,0.6175389198485512
2007-05-01,0.661556586085057,0.558305765179499
2007-06-01,-1.168926760389919,0.4667815978557502
2007-07-01,-2.2216948743638465,0.4141431921570538
2007-08-01,-2.7411116091914236,0.38817235541567496
2007-09-01,-2.77758690060954,0.38634859084476914
2007-10-01,-2.622445722492003,0.394105649750646
2007-11-01,-2.2305488069937613,0.4137004955255581
2007-12-01,-1.6505089068144034,0.442702490534526
2008-01-01,-0.8449934606587082,0.4829782628423107
2008-02-01,0.04080068393009384,0.5272679700717509
2008-03-01,-0.056384116568438,0.5224087300468242
2008-04-01,-0.4047329557920687,0.5049912880856428
2008-05-01,-0.5041885963535186,0.5000185060575703
2008-06-01,-1.5958631944473716,0.4454347761528776
2008-07-01,-2.925692298325706,0.3789433209589608
2008-08-01,-3.9557051393605587,0.32744267890721823
2008-09-01,-4.467385476103038,0.30185866207009426
2008-10-01,-4.694754416700006,0.29049021504024586
2008-11-01,-4.290144003902163,0.310720735680138
2008-12-01,-4.143031559065223,0.31807635792198496
2009-01-01,-3.3343571659235662,0.35851007757906783
2009-02-01,-2.6639548532891535,0.39203019321078847
2009-03-01,-1.4997120517287055,0.45024233328881086
2009-04-01,-0.9599107960538191,0.4772323960725552
2009-05-01,-0.18537671321181115,0.5159591002146556
2009-06-01,-1.0394925772487085,0.4732533070128107
2009-07-01,-1.6368135579721095,0.4433872579766407
2009-08-01,-2.310176227016642,0.40971912452441406
2009-09-01,-2.7754246069483184,0.38645670552783024
2009-10-01,-2.7963506263223117,0.38541040455913056
2009-11-01,-2.793861459974144,0.38553486287653893
2009-12-01,-2.1122023920902677,0.41961781627073275
2010-01-01,-1.1185180581348657,0.46930203296850287
2010-02-01,-0.13286122397822275,0.518584874676335
2010-03-01,0.9737829096961068,0.5739170813600515
2010-04-01,1.2393638841384575,0.587196130082169
2010-05-01,1.1652180574016437,0.5834888387453283
2010-06-01,2.0475744881091984,0.6276066602807061
2010-07-01,0.8977412213749769,0.570114996943995
2010-08-01,-0.2895405539471785,0.5107509081778873
2010-09-01,-0.9040242009582169,0.4800267258273353
2010-10-01,-0.8191853201716981,0.4842686698666612
2010-11-01,-0.1972354075979883,0.5153661654953468
2010-12-01,1.525659952560586,0.6015109335032754
2011-01-01,2.407310831657057,0.645593477458099
2011-02-01,2.6983817082723327,0.6601470212888628
2011-03-01,3.2976343215533337,0.6901096519529129
2011-04-01,3.037723663118186,0.6771141190311555
2011-05-01,3.231665245917613,0.6868111981711268
2011-06-01,4.828160788255346,0.7666359752880134
2011-07-01,4.549710897801862,0.7527134807653393
2011-08-01,3.04260948467671,0.6773584101090817
2011-09-01,2.2716882701368757,0.63881234938209
2011-10-01,2.1584793070867647,0.6331519012295844
2011-11-01,2.065159005185274,0.6284858861345098
2011-12-01,2.355270232930934,0.6429914475217928
2012-01-01,2.3003457536686174,0.6402452235586771
2012-02-01,1.7150203838153608,0.6109789550660142
2012-03-01,2.021057095565597,0.626280790653526
2012-04-01,2.569419948674904,0.6536989333089913
2012-05-01,1.9582346320974668,0.6231396674801195
2012-06-01,0.31779999974262196,0.5411179358623772
2012-07-01,-0.9355199261981539,0.47845193956533844
2012-08-01,-1.8468841492793135,0.4328837284112805
2012-09-01,-2.2119244647286305,0.4146317126388146
2012-10-01,-2.4785958371153782,0.4012981440194772
2012-11-01,-2.191348754196502,0.41566049816542106
2012-12-01,-0.871241954161718,0.48166583816716024
2013-01-01,-0.4128986055566326,0.5045830055974145
2013-02-01,-0.37281908020919907,0.5065869818647862
2013-03-01,-0.06744228124204987,0.5218558218131436
2013-04-01,-0.1428610612352177,0.5180848828134853
2013-05-01,-0.7141272051041021,0.48952157562004106
2013-06-01,-1.9167041552118516,0.42939272811465357
2013-07-01,-2.8996596641442673,0.38024495266803277
2013-08-01,-3.197821827843601,0.3653368444830661
2013-09-01,-3.5383466917716593,0.3483106012866632
2013-10-01,-4.05322668040074,0.32256660185520913
2013-11-01,-4.015691828084169,0.32444334447103773
2013-12-01,-3.9406862645065797,0.32819362264991714
