# https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=<station_id>&SensorNums=<storage or alt storage sensor>&dur_code=M&Start=YYYY-MM-DD&End=YYYY-MM-DD
#
date,anomaly,error
2004-01-01,-0.3801311776738726,0.03240942691110118
2004-02-01,-0.2836679640503079,0.03723258759227941
2004-03-01,-0.00467657507013941,0.05118215704128784
2004-04-01,0.1963402595494641,0.06123299877226801
2004-05-01,0.4594727725442842,0.07438962442200901
2004-06-01,0.09508373550518967,0.05617017257005429
2004-07-01,-0.37632465272320104,0.03259975315863475
2004-08-01,-0.5806176151033307,0.022385105039628272
2004-09-01,-0.6299420868231801,0.019918881453635802
2004-10-01,-0.6103753644341641,0.0208972175730866
2004-11-01,-0.5718339909381549,0.02282428624788706
2004-12-01,-0.5216522493412099,0.02533337332773431
2005-01-01,-0.32837551325221703,0.03499721013218395
2005-02-01,-0.18564316242040813,0.0421338276737744
2005-03-01,0.10495899109659512,0.056663935349624564
2005-04-01,0.3533082242684087,0.06908139700821524
2005-05-01,1.1354664583483038,0.10818930871221
2005-06-01,1.3995462853943605,0.12139330006451284
2005-07-01,1.0251981159989074,0.10267589159474018
2005-08-01,0.4488487934774881,0.0738584254686692
2005-09-01,0.2084727869035814,0.061839625139973875
2005-10-01,0.051793456934622784,0.05400565864152595
2005-11-01,0.028323998011606344,0.05283218569537512
2005-12-01,0.10189995613947733,0.05651098360176868
2006-01-01,0.24481116183773066,0.06365654388668134
2006-02-01,0.3268500388530149,0.06775848773744556
2006-03-01,0.5671150320615421,0.07977173739787191
2006-04-01,0.858657098738757,0.09434884073173266
2006-05-01,1.127747329008932,0.1078033522452414
2006-06-01,1.2203633127811853,0.11243415143385407
2006-07-01,0.8289758252818515,0.09286477705888739
2006-08-01,0.325176203999463,0.06767479599476796
2006-09-01,0.07496441325295278,0.055164206457442445
2006-10-01,-0.015076060442502204,0.0506621827726697
2006-11-01,-0.013830243786579377,0.050724473605465836
2006-12-01,0.004702820822571896,0.051651126835923405
2007-01-01,-0.003809437338343491,0.051225513927877636
2007-02-01,0.030411049280737013,0.052936538258831656
2007-03-01,0.154620203358095,0.05914699596269956
