date,SMTa,SMTa_error
2005-01-01T00:00:00.000000000,-0.5855839,4.537945
2005-02-01T00:00:00.000000000,-0.20032556,4.576467
2005-03-01T00:00:00.000000000,0.7859088,4.6750927
