STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
USL,2005-01-01,37732209.41057802,M3,15,M, ,STORAGE,20050101 0000,U SAN LEANDRO,USL
USL,2005-02-01,37164807.765306175,M3,15,M, ,STORAGE,20050201 0000,U SAN LEANDRO,USL
USL,2005-03-01,43541908.86542675,M3,15,M, ,STORAGE,20050301 0000,U SAN LEANDRO,USL
SAT,2005-01-01,46075480.55974931,M3,15,M, ,STORAGE,20050101 0000,SAN ANTONIO RESERVOIR,SAT
SAT,2005-02-01,50245882.65249741,M3,15,M, ,STORAGE,20050201 0000,SAN ANTONIO RESERVOIR,SAT
SAT,2005-03-01,54893642.21637639,M3,15,M, ,STORAGE,20050301 0000,SAN ANTONIO RESERVOIR,SAT
CHB,2005-01-01,10792966.078540625,M3,15,M, ,STORAGE,20050101 0000,CHABOT,CHB
CHB,2005-02-01,11705742.638325775,M3,15,M, ,STORAGE,20050201 0000,CHABOT,CHB
CHB,2005-03-01,12186800.5549693,M3,15,M, ,STORAGE,20050301 0000,CHABOT,CHB
AST,2005-01-01,5237363.882226685,M3,15,M, ,STORAGE,20050101 0000,LAKE ELSMAN (AUSTRIAN DAM),AST
AST,2005-02-01,7399657.543447452,M3,15,M, ,STORAGE,20050201 0000,LAKE ELSMAN (AUSTRIAN DAM),AST
AST,2005-03-01,7592080.710104862,M3,15,M, ,STORAGE,20050301 0000,LAKE ELSMAN (AUSTRIAN DAM),AST
CYC,2005-01-01,15272972.112513144,M3,15,M, ,STORAGE,20050101 0000,COYOTE RES-STA CLARA,CYC
CYC,2005-02-01,21259059.470131163,M3,15,M, ,STORAGE,20050201 0000,COYOTE RES-STA CLARA,CYC
CYC,2005-03-01,25465232.536168136,M3,15,M, ,STORAGE,20050301 0000,COYOTE RES-STA CLARA,CYC
LNG,2005-01-01,12453232.631879559,M3,15,M, ,STORAGE,20050101 0000,LEXINGTON RESERVOIR,LNG
LNG,2005-02-01,15534470.262073215,M3,15,M, ,STORAGE,20050201 0000,LEXINGTON RESERVOIR,LNG
LNG,2005-03-01,22571484.145281702,M3,15,M, ,STORAGE,20050301 0000,LEXINGTON RESERVOIR,LNG
LRA,2005-01-01,81942665.43195552,M3,15,M, ,STORAGE,20050101 0000,LEROY ANDERSON,LRA
LRA,2005-02-01,97334051.80087322,M3,15,M, ,STORAGE,20050201 0000,LEROY ANDERSON,LRA
LRA,2005-03-01,105216000.74280174,M3,15,M, ,STORAGE,20050301 0000,LEROY ANDERSON,LRA
CRY,2005-01-01,63370129.40400281,M3,15,M, ,STORAGE,20050101 0000,LOWER CRYSTAL SPRINGS RESERVOIR,CRY
